#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_montfortlamaury;Montfort;Montfort;Montfort;;Montfort;;;;;;;;;x
b_montelimar;Monteil;Monteil;Monteil;;Monteil;;;;;;;;;x
b_valreas;Grignan;Grignan;Grignan;;Grignan;;;;;;;;;x
b_venasque;Venasque;Venasque;Venasque;;Venasque;;;;;;;;;x
b_chateaudoex;Oex;Oex;Oex;;Oex;;;;;;;;;x
b_largentiere;Ségualières;Ségualières;Ségualières;;Ségualières;;;;;;;;;x
b_albalaromaine;Aps;Aps;Aps;;Aps;;;;;;;;;x
b_bagnolssurceze;Bagnols;Bagnols;Bagnols;;Bagnols;;;;;;;;;x
b_stponsdethomieres;Saint Pons;Saint Pons;Saint Pons;;Saint Pons;;;;;;;;;x
b_mauleonlicharre;Mauléon;Mauléon;Mauléon;;Mauléon;;;;;;;;;x
b_latestedebuch;La Teste de Buch;La Teste de Buch;La Teste de Buch;;La Teste de Buch;;;;;;;;;x
b_villefranchesursaone;Villefranche;Villefranche;Villefranche;;Villefranche;;;;;;;;;x
b_semurenbrionnais;Semur;Semur;Semur;;Semur;;;;;;;;;x
b_toulonsurarroux;Toulon;Toulon;Toulon;;Toulon;;;;;;;;;x
b_st_pol_de_leon;Saint Pol;Saint Pol;Saint Pol;;Saint Pol;;;;;;;;;x
b_la_roche-bernard;La Roche Bernard;La Roche Bernard;La Roche Bernard;;La Roche Bernard;;;;;;;;;x
b_neufchatel-en-bray;Neufchatel;Neufchâtel;Neufchatel;;Neufchatel;;;;;;;;;x
b_chaumontsurloire;Chaumont;Chaumont;Chaumont;;Chaumont;;;;;;;;;x
b_fougeressurbievre;Fougères;Fougères;Fougères;;Fougères;;;;;;;;;x
b_stgeorgesdubois;Saint Georges;Saint Georges;Saint Georges;;Saint Georges;;;;;;;;;x
b_nogentsurseine;Nogent;Nogent;Nogent;;Nogent;;;;;;;;;x
b_villeneuveleroi;Villeneuve;Villeneuve;Villeneuve;;Villeneuve;;;;;;;;;x
b_stsauveurenpuisaye;Saint Sauveur;Saint Sauveur;Saint Sauveur;;Saint Sauveur;;;;;;;;;x
b_barleduc;Bar;Bar;Bar;;Bar;;;;;;;;;x
b_audunleroman;Audun;Audun;Audun;;Audun;;;;;;;;;x
b_sorcystmartin;Sorcy;Sorcy;Sorcy;;Sorcy;;;;;;;;;x
solo_norse_frame;Pagan;Payen;Pagan;;Pagan;;;;;;;;;x
solo_islamic_frame;Islamic;Islamique;Islamic;;Islamic;;;;;;;;;x
solo_african_frame;African;Africain;African;;African;;;;;;;;;x
solo_tengri_frame;Tengri;Tengri;Tengri;;Tengri;;;;;;;;;x
solo_zoroastrian_frame;Zoroastrian;Zoroastrien;Zoroastrian;;Zoroastrian;;;;;;;;;x
coa_plain_aztec;Aztec;Aztèque;Aztec;;Aztec;;;;;;;;;x
