#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hide_fritz_flags;Hide Flags;x
hide_fritz_flags_desc; ;x

reveal_fritz_flags;Show Flags;x
reveal_fritz_flags_desc; ;x

reset_primary_coa;Reset Primary Coat of Arms;x
reset_primary_coa_desc; ;x

england_coa_one;Alter English Coat of Arms;x
england_coa_one_desc; ;x

england_coa_two;Alter English Coat of Arms;x
england_coa_two_desc; ;x

england_coa_three;Alter English Coat of Arms;x
england_coa_three_desc; ;x

england_coa_four;Alter English Coat of Arms;x
england_coa_four_desc; ;x

england_coa_five;Alter English Coat of Arms;x
england_coa_five_desc; ;x

england_coa_six;Alter English Coat of Arms;x
england_coa_six_desc; ;x

england_coa_seven;Alter English Coat of Arms;x
england_coa_seven_desc; ;x

england_coa_eight;Alter English Coat of Arms;x
england_coa_eight_desc; ;x

england_coa_nine;Alter English Coat of Arms;x
england_coa_nine_desc; ;x

england_coa_ten;Alter English Coat of Arms;x
england_coa_ten_desc; ;x

britannia_coa_one;Alter Britannian Coat of Arms;x
britannia_coa_one_desc; ;x

britannia_coa_two;Alter Britannian Coat of Arms;x
britannia_coa_two_desc; ;x

scotland_coa_one;Alter Scottish Coat of Arms;x
scotland_coa_one_desc; ;x

scotland_coa_one_true;Alter Scottish Coat of Arms;x
scotland_coa_one_true_desc; ;x

france_coa_one;Alter French Coat of Arms;x
france_coa_one_desc; ;x

france_coa_two;Alter French Coat of Arms;x
france_coa_two_desc; ;x

france_coa_three;Alter French Coat of Arms;x
france_coa_three_desc; ;x

france_coa_four;Alter French Coat of Arms;x
france_coa_four_desc; ;x

france_coa_five;Alter French Coat of Arms;x
france_coa_five_desc; ;x

france_coa_six;Alter French Coat of Arms;x
france_coa_six_desc; ;x

france_coa_seven;Alter French Coat of Arms;x
france_coa_seven_desc; ;x

france_coa_seven_true;Alter French Coat of Arms;x
france_coa_seven_true_desc; ;x

france_coa_eight;Alter French Coat of Arms;x
france_coa_eight_desc; ;x

france_coa_nine;Alter French Coat of Arms;x
france_coa_nine_desc; ;x

efrance_coa_one;Alter French Imperial Coat of Arms;x
efrance_coa_one_desc; ;x

