# Caesar's Books by CaesarTheRoman

cbs_exped;Treatises on Imperial Military Expeditions;;;;;;;;;;;;;x
cbs_exped_desc;Treatises providing information on military campaigns in Asia Minor, associated with Constantine VII. It gives advice on how an emperor should prepare and mount a military campaign. This work is characteristic of the bitter fighting of the 7th century.;;;;;;;;;;;;;x

cbs_hako;Hákonarmál;;;;;;;;;;;;;x
cbs_hako_desc;A skaldic poem about the fall of the Norwegian king Hákon the Good at the battle of Fitjar and his reception in Valhalla. Composed by the great skald Eyvindr Skáldaspillir.;;;;;;;;;;;;;x

cbs_leovi;Tactica of Emperor Leo VI the Wise;;;;;;;;;;;;;x
cbs_leovi_desc;Handbook dealing with military formations and weapons. Drawing on earlier authors such as Aelian and Onasander, it is one of the major works on Byzantine military tactics. It details a variety of issues, such as infantry and cavalry formations, sieges and naval warfare.;;;;;;;;;;;;;x

cbs_greek;Greek Anthology;;;;;;;;;;;;;x
cbs_greek_desc;Originally compiled by Meleager, combined by Constantinus Cephalas with works by Philippus of Thessalonica, Diogenianus, Agathias and others. Part of a later revision compiled by Maximus Planudes.;;;;;;;;;;;;;x

cbs_prae;Praecepta Militaria;;;;;;;;;;;;x
cbs_prae_desc;Byzantine military manual attributed to Nikephoros II. Details novel tactics such as the use of the cataphract wedge, the new Taxiarchia brigade, the formation of intervals between units and of how they should be guarded, and the use of the menavlon spear.;;;;;;;;;;;;;x

cbs_walth;Waltharius;;;;;;;;;;;;;x
cbs_walth_desc;A Latin poem founded on German tradition, detailing exploits of the west Gothic hero Walter of Aquitaine. Generally attributed to Ekkehard, a monk of St. Gall. Ekkehard IV stated that he corrected the Latin of the poem, the Germanisms of which offended the Archbishop of Mainz.;;;;;;;;;;;;;x

cbs_eirik;Eiríksmál;;;;;;;;;;;;;x
cbs_eirik_desc;A skaldic poem composed at the behest of the Norwegian queen Gunnhild in honour of her slain consort Erik Bloodaxe. It thus has much in common with the Eddaic poems. The later work Hákonarmál appears to be modelled on Eiríksmál.;;;;;;;;;;;;;x

cbs_beowulf;Beowulf;;;;;;;;;;;;;x
cbs_beowulf_desc;An epic Saxon poem set in Scandinavia. Beowulf, a hero of the Geats, comes to the aid of Hrothgar, the king of the Danes, whose mead hall in Heorot has been under attack by a monster known as Grendel.;;;;;;;;;;;;;x

cbs_maldon;The Battle of Maldon;;;;;;;;;;;;;x
cbs_maldon_desc;The Battle of Maldon is an Old English poem celebrating the Battle of Maldon, at which an Anglo-Saxon army failed to repulse a Viking raid. The poem is told entirely from the perspective of the English.;;;;;;;;;;;;;x

