#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
rdu_one_1;Add 1 Year;;;;;;;;;;;;;x
rdu_one_2;Add 1 Year;;;;;;;;;;;;;x
rdu_one_3;Add 1 Year;;;;;;;;;;;;;x
rdu_one_4;Add 1 Year;;;;;;;;;;;;;x
rdu_one_5;Add 1 Year;;;;;;;;;;;;;x
rdu_one_6;Add 1 Year;;;;;;;;;;;;;x
rdu_one_7;Add 1 Year;;;;;;;;;;;;;x
rdu_one_8;Add 1 Year;;;;;;;;;;;;;x
rdu_one_9;Add 1 Year;;;;;;;;;;;;;x
rdu_one_10;Add 1 Year;;;;;;;;;;;;;x
rdu_five_1;Add 5 Years;;;;;;;;;;;;;x
rdu_five_2;Add 5 Years;;;;;;;;;;;;;x
rdu_five_3;Add 5 Years;;;;;;;;;;;;;x
rdu_five_4;Add 5 Years;;;;;;;;;;;;;x
rdu_five_5;Add 5 Years;;;;;;;;;;;;;x
rdu_five_6;Add 5 Years;;;;;;;;;;;;;x
rdu_five_7;Add 5 Years;;;;;;;;;;;;;x
rdu_five_8;Add 5 Years;;;;;;;;;;;;;x
rdu_five_9;Add 5 Years;;;;;;;;;;;;;x
rdu_five_10;Add 5 Years;;;;;;;;;;;;;x
rdu_ten_1;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_2;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_3;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_4;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_5;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_6;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_7;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_8;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_9;Add 10 Years;;;;;;;;;;;;;x
rdu_ten_10;Add 10 Years;;;;;;;;;;;;;x
rdu_minusone_1;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_2;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_3;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_4;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_5;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_6;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_7;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_8;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_9;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_10;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusone_5;Subtract 1 Year;;;;;;;;;;;;;x
rdu_minusfive_1;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_2;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_3;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_4;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_5;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_6;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_7;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_8;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_9;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusfive_10;Subtract 5 Years;;;;;;;;;;;;;x
rdu_minusten_1;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_2;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_3;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_4;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_5;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_6;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_7;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_8;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_9;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusten_10;Subtract 10 Years;;;;;;;;;;;;;x
rdu_minusfifty_1;Subtract 50 Years;;;;;;;;;;;;;x
rdu_minusfifty_2;Subtract 50 Years;;;;;;;;;;;;;x
rdu_minusfifty_3;Subtract 50 Years;;;;;;;;;;;;;x
rdu_minushundred_1;Subtract 100 Years;;;;;;;;;;;;;x
rdu_more_options;RDU More Options;;;;;;;;;;;;;x
rdu_more_options_desc;Unlocks a decision to start with money or event troops for the created character.;;;;;;;;;;;;;x
EVTDESCrdu_events.1;I awoke this morning with no knowledge of my past or of where I was. I was assured by confused servants who, assuming that this was some prank or test, told me that I am their ruler...;;;;;;;x
EVTOPTArdu_events.1;Who am I!? Where did I come from?!;;;;;;;;;;;;;x
rdu_more_options;RDU More Options;;;;;;;;;;;;;x
remove_rdu_more_options;Remove "RDU More Options" Decision;;;;;;;;;;;;;x
remove_rdu_more_options_desc;Removes the decision from the list to prevent yourself from cheating or to reduce clutter.;;;;;;;;;;;;;x
EVTDESCrdu_events.2;More options for RDU;;;;;;;;;;;;;x
EVTOPTArdu_events.2;Start with Event Troops;;;;;;;;;;;;;x
EVTOPTBrdu_events.2;Start with money;;;;;;;;;;;;;x
EVTOPTCrdu_events.2;I reject my humanity!;;;;;;;;;;;;;x
EVTOPTDrdu_events.2;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.3;What kind of troops?;;;;;;;;;;;;;x
EVTOPTArdu_events.3;Spawn Pikemen;;;;;;;;;;;;;x
EVTOPTBrdu_events.3;Spawn Light Cavalry;;;;;;;;;;;;;x
EVTOPTCrdu_events.3;Spawn Heavy Cavalry;;;;;;;;;;;;;x
EVTOPTDrdu_events.3;More Options;;;;;;;;;;;;;x
EVTOPTErdu_events.3;Spawn Special Cavalry Troops;;;;;;;;;;;;;x
EVTDESCrdu_events.4;What kind of troops?;;;;;;;;;;;;;x
EVTOPTArdu_events.4;Spawn Heavy Infantry;;;;;;;;;;;;;x
EVTOPTBrdu_events.4;Spawn Light Infantry;;;;;;;;;;;;;x
EVTOPTCrdu_events.4;Spawn Archers;;;;;;;;;;;;;x
EVTOPTDrdu_events.4;More Options;;;;;;;;;;;;;x
EVTDESCrdu_events.5;How much gold?;;;;;;;;;;;;;x
EVTOPTArdu_events.5;100 Gold;;;;;;;;;;;;;x
EVTOPTBrdu_events.5;1000 Gold;;;;;;;;;;;;;x
EVTOPTCrdu_events.5;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.6;How many Horse Archers?;;;;;;;;;;;;;x
EVTOPTArdu_events.6;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.6;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.6;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.6;Never mind;;;;;;;;;;;;;x
EVTDESCrdu_events.7;How many Light Cavalry?;;;;;;;;;;;;;x
EVTOPTArdu_events.7;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.7;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.7;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.7;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.8;How many Heavy Cavalry?;;;;;;;;;;;;;x
EVTOPTArdu_events.8;1000;;;;;;;;;;;;;x
EVTOPTBrdu_events.8;3000;;;;;;;;;;;;;x
EVTOPTCrdu_events.8;5000;;;;;;;;;;;;;x
EVTOPTDrdu_events.8;Never mind (Exit);;;;;;;;;;;;;x
EVTDESCrdu_events.9;How many Heavy Infantry?;;;;;;;;;;;;;x
